paradigm,n_items,w_max,answer,op
gd,28,28,277,177
gd,28,32,370,174
gd,32,8,310,217
gd,32,12,462,254
gd,32,16,333,185
gd,32,20,325,184
gd,32,24,388,210
gd,32,28,495,235
gd,32,32,338,232
xs,8,8,252,1535
xs,8,12,212,1535
xs,8,16,258,1535
xs,8,20,213,1535
xs,8,24,217,1535
xs,8,28,140,1535
xs,8,32,230,1535
xs,12,8,152,32767
xs,12,12,196,32767
xs,12,16,125,32767
xs,12,20,160,32767
xs,12,24,357,32767
xs,12,28,196,32767
xs,12,32,244,32767
xs,16,8,214,655359
xs,16,12,185,655359
xs,16,16,235,655359
xs,16,20,353,655359
xs,16,24,261,655359
xs,16,28,334,655359
xs,16,32,487,655359
xs,20,8,310,12582911
xs,20,12,295,12582911
xs,20,16,302,12582911
xs,20,20,303,12582911
xs,20,24,364,12582911
xs,20,28,216,12582911
xs,20,32,402,12582911
xs,24,8,280,234881023
xs,24,12,346,234881023
xs,24,16,327,234881023
xs,24,20,289,234881023
xs,24,24,425,234881023
xs,24,28,317,234881023
xs,24,32,324,234881023
xs,28,8,224,4294967295
xs,28,12,345,4294967295
xs,28,16,357,4294967295
xs,28,20,315,4294967295
xs,28,24,393,4294967295
xs,28,28,307,4294967295
xs,28,32,376,4294967295
xs,32,8,351,77309411327
xs,32,12,482,77309411327
xs,32,16,351,77309411327
xs,32,20,349,77309411327
xs,32,24,388,77309411327
xs,32,28,521,77309411327
xs,32,32,357,77309411327
